surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO2	0.0	[2337.1, 1303.43, 626.2, 626.2, 8.98, 8.98]	sv_calc
None	gas	CO	0.228	[2102.17, 30.57, 30.53]	sv_calc
None	gas	H2	0.0	[4357.74, 101.87, 101.851]	sv_calc
None	gas	H2O	0.0	[3823.99, 3715.4, 1599.34, 84.9, 76.593, 10]	sv_calc
Fe	1_1	CO2	-1.62	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Fe	1_1	CO	-1.46	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Fe	1_1	COOH	-1.33	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Ni	1_1	CO2	-1.73	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Ni	1_1	CO	-1.35	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Ni	1_1	COOH	-1.19	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Ni	1_2	CO2	-1.83	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Ni	1_2	CO	-1.9	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
Ni	1_2	COOH	-1.71	[3579.438347, 1573.100374, 1241.519251, 932.338544, 624.650858, 619.94479, 468.883838, 246.531351, 245.478053, 75.740879, 73.602391, 15.378853]	sv_calc
Fe	1_3	CO2	-1.7	[1846.027301, 1179.574916, 546.070088, 534.269426, 168.712357, 136.301896, 66.113421, 51.400916, 36.766228]	sv_calc
Fe	1_3	CO	-1.97	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
